n_neurons,n_cores,conn_prob,firing_rate,T_overhead,T_overhead_sem,overhead_pct,overhead_pct_sem,T_static,T_static_sem,T_stdp,T_stdp_sem,n_spikes_static,n_spikes_stdp,n_connections,spike_divergence,spike_divergence_sem
50,1,0.2,20.0,0.021950235997792333,0.0031864835905072108,4.94498318866468,0.033899387622339607,0.4438889913338547,0.0006632722210003425,0.465839227331647,0.0031166885685645586,35866.666666666664,35646.333333333336,504.3333333333333,-0.6143094968193371,0.007319693851137891
50,1,0.2,40.0,0.010857782661332749,0.006157554390042914,2.4112621738181046,0.03296785091088824,0.450294571002208,0.006137617015769925,0.46115235366354074,0.0004951095172466737,37686.0,37434.333333333336,489.3333333333333,-0.6677534853977808,0.047435557691826905
50,2,0.05,10.0,0.005184443997374444,0.007037870509244345,1.4985431809935172,0.03010851317536453,0.34596560600524146,0.002848575393538865,0.3511500500026159,0.006435622699647344,34618.666666666664,34582.666666666664,127.66666666666667,-0.1039872311349075,0.01923011899924473
50,2,0.05,20.0,0.0034905260011631745,0.001270576750784047,1.00688411618574,0.0036588663048126562,0.3466661103351119,0.0004808375279850682,0.3501566363362751,0.0011760784630772535,35571.666666666664,35530.333333333336,129.66666666666666,-0.11619093931161184,0.038957179640129014
50,2,0.05,40.0,-0.0012563326648281081,0.0077304926481389,-0.3583337260748219,0.007902058657294927,0.3506040803331416,0.007574854457198875,0.3493477476683135,0.0015434042034359983,37444.666666666664,37354.666666666664,119.0,-0.24035195178959387,0.024460903463464495
50,2,0.1,10.0,0.005224735660400881,0.009612205703200542,1.4979588555025354,0.04113245418696995,0.348790331670898,0.008343904520152746,0.3540150673312989,0.004772185645929502,34727.666666666664,34632.333333333336,243.0,-0.27449297775130954,0.03172769773177209
50,2,0.1,20.0,0.004919085001650558,0.0017897022374627916,1.412030513983947,0.0072036411209186555,0.3483695963320012,0.001263606443077877,0.35328868133365177,0.0012674118729881767,35657.666666666664,35550.666666666664,254.66666666666666,-0.3000780576976916,0.01287959625866218
50,2,0.1,40.0,0.0029163966682972386,0.003276136932693952,0.8273812545150817,0.007675777142846934,0.3524852239982768,0.0028818096746350223,0.35540162066657405,0.0015582830939663438,37510.666666666664,37403.666666666664,261.3333333333333,-0.285208864757914,0.04388522528628184
50,2,0.2,10.0,0.008396464341785759,0.0008896488941546778,2.4113737087367215,0.00610570064657856,0.34820253332630574,0.0006982396732336125,0.3565989976680915,0.0005513043747271184,34910.666666666664,34718.333333333336,506.0,-0.5508617271922138,0.06718043397865095
50,2,0.2,20.0,0.015227176001644693,0.00967729750066532,4.3835914744471545,0.11710013942534,0.3473675886634737,0.0013791494856091875,0.3625947646651184,0.009578519385203915,35866.666666666664,35622.666666666664,492.6666666666667,-0.6802843705903948,0.047540496291991904
50,2,0.2,40.0,0.00719835733373958,0.006930293982850291,2.025305847334466,0.039364509357035005,0.35542075500416104,0.0063408673709667695,0.3626191123379006,0.002796851027949098,37694.333333333336,37457.666666666664,500.6666666666667,-0.6278579962500995,0.04059794039854468
