n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate,T_simulate_sem,T_1core,speedup,speedup_sem,efficiency,efficiency_sem
100,1,0.05,20.0,static,0.7572813973335238,0.011305572759839526,0.7572813973335238,1.0,0.02111301609105708,1.0,0.02111301609105708
100,2,0.05,20.0,static,0.5253687333315611,0.005719581183896192,0.7572813973335238,1.4414283707584141,0.026633368711863423,0.7207141853792071,0.013316684355931712
100,4,0.05,20.0,static,0.4014538060049138,0.0006786148397580891,0.7572813973335238,1.8863475348998302,0.02834152606770779,0.47158688372495755,0.007085381516926947
100,8,0.05,20.0,static,0.45857189667003695,0.0005520723423035598,0.7572813973335238,1.6513907695447412,0.024733902654945045,0.20642384619309265,0.0030917378318681306
100,1,0.05,20.0,stdp,0.7657862313305183,0.0006333793517807677,0.7657862313305183,1.0,0.0011696915310936648,1.0,0.0011696915310936648
100,2,0.05,20.0,stdp,0.5333027313317871,0.004609472466109999,0.7657862313305183,1.4359315757077844,0.012467820824959732,0.7179657878538922,0.006233910412479866
100,4,0.05,20.0,stdp,0.4152518230015024,0.00738440011414387,0.7657862313305183,1.8441489932429451,0.03282985113014018,0.4610372483107363,0.008207462782535044
100,8,0.05,20.0,stdp,0.46538246000030387,0.0007295423378149868,0.7657862313305183,1.645498696555986,0.0029165359128177685,0.20568733706949824,0.00036456698910222106
100,1,0.05,40.0,static,0.7507198556656173,0.0013952444647478707,0.7507198556656173,1.0,0.0026283754585429693,1.0,0.0026283754585429693
100,2,0.05,40.0,static,0.5189187013408324,0.002112722995137137,0.7507198556656173,1.4467003284441948,0.006474761560948176,0.7233501642220974,0.003237380780474088
100,4,0.05,40.0,static,0.4044737069974265,0.0006247003913039896,0.7507198556656173,1.8560411781485557,0.004485168108403243,0.46401029453713893,0.0011212920271008108
100,8,0.05,40.0,static,0.4584380026644794,0.002806992212619592,0.7507198556656173,1.6375602618072054,0.010478424934523948,0.20469503272590067,0.0013098031168154935
100,1,0.05,40.0,stdp,0.773157333334287,0.0009713416348226865,0.773157333334287,1.0,0.0017767205385478286,1.0,0.0017767205385478286
100,2,0.05,40.0,stdp,0.5313785540056415,0.0011835113844006172,0.773157333334287,1.4550028929584513,0.0037206554703401464,0.7275014464792257,0.0018603277351700732
100,4,0.05,40.0,stdp,0.4143677746663646,0.0009318158780819343,0.773157333334287,1.8658722531133318,0.004806319370885112,0.46646806327833296,0.001201579842721278
100,8,0.05,40.0,stdp,0.4648071960012506,0.0005925415138657043,0.773157333334287,1.6633936393106246,0.002977201419815665,0.20792420491382807,0.0003721501774769581
100,1,0.1,10.0,static,0.7527090393317243,0.0006273182572270915,0.7527090393317243,1.0,0.001178625392997078,1.0,0.001178625392997078
100,2,0.1,10.0,static,0.52016022966806,0.0038416163300850374,0.7527090393317243,1.4470714914365237,0.01075510233471218,0.7235357457182618,0.00537755116735609
100,4,0.1,10.0,static,0.40231653466374456,0.0020481239911639007,0.7527090393317243,1.8709373701501908,0.009651407974781192,0.4677343425375477,0.002412851993695298
100,8,0.1,10.0,static,0.456844444333304,0.0006649762904844709,0.7527090393317243,1.6476265579418183,0.0027635510927103415,0.2059533197427273,0.0003454438865887927
100,1,0.1,10.0,stdp,0.78877010900275,0.0007162723273811509,0.78877010900275,1.0,0.0012842297498008176,1.0,0.0012842297498008176
100,2,0.1,10.0,stdp,0.5382038229969718,0.0029670105857359944,0.78877010900275,1.4655602121339597,0.00818821988394786,0.7327801060669799,0.00409410994197393
